# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
これがパイアールの弱みに違いない	This must be Pi-R's weak point
ＩＰボディを使用	An IP body is used
パイアールの姉、ルートが復活する	Root, Pi-R's sister, is revived
※要ガルティア　内容若干変化	※Needs Galtia - slight changes
弟の責任は姉が取るべきである	A sister answers for her brother
ルートにフェラチオをさせる	Root is made to suck him off
ルートの姿を見て激怒	The sight of Root enrages him
パイアール死亡	Pi-R dies
……と思ったらロボットになって復活	..then he is back as a robot
ルートの説得により	Root talks him round, and
パイアールロボが仲間に加わった	Robot Pi-R joins the party
パイアールの兵器が無くなったことで	With Pi-R's weapons gone,
チューリップ大活躍	the Tulips run riot
自由都市軍が大きく領土を取り返した	The Free Cities win back much land
自由都市の戦況説明	The war in the Free Cities
※自由都市の戦況で内容若干変化	※Varies with the Free Cities war
財宝の略奪にいそしむピサロ	Pizarro busies himself looting
Ｍランドにランス到着	Rance reaches M-Land
マリアの部屋からダークランスが出てきた	Dark Rance came out of Maria's room
翌朝、軍議	The next morning, a war council
ピサロは金銀財宝に目が無い	Pizarro cannot resist treasure
悪魔回廊のゴールデンハニーを餌にしよう	Use the Golden Hanny as bait
ちょっと休憩	A short break
急ぐ必要は無い	No need to hurry
時間調整しよう	Time to kill some time
リターンデーモンと会話	A talk with the Return Demon
今、ネプラカスが居るので危険	Neplacus is in there; it is risky
日を改めるわけにはいかない	It cannot wait for another day
ピサロが今日ここに来るよう情報を流した	Word was fed to bring Pizarro today
ランスの狙い通り	Just as Rance meant it,
ピサロは悪魔回廊に来ていた	Pizarro came to the Demon Corridor
フェリスに道案内させる	Feliss is made to lead the way
ネプラカスのことを知るフェリス	Feliss knows about Neplacus
恐怖に青ざめる	She goes pale with fear
ダークランス登場	Dark Rance appears
フェリスと感動の再会	A moving reunion with Feliss
ネプラカスと接近	Neplacus draws near
隠れる	They hide
絶対に気づかれてはならない	They must not be noticed
……黙っているのがしんどくなってきた	..staying quiet is getting hard
おもちもちもち	Mochi mochi mochi
もっふぅ〜〜〜ん	Moffuuuun
ネプラカスは突如ランス達に興味を失い	Neplacus suddenly loses interest
どこかへ消えてしまった	and wanders off somewhere
ネプラカスに敗北、そして……	Beaten by Neplacus, and then...
ネプラカスをやりすごす	They let Neplacus pass
トイレ休憩	A toilet break
ダークランスに会う	They meet Dark Rance
親子で立小便	Father and son take a piss
その頃、ピサロ	Meanwhile, Pizarro
ネプラカスをやりすごして先を急ぐ	He waits out Neplacus and hurries on
ランスの待ち伏せ場所に	Into Rance's ambush
ピサロがまんまと現れる	Pizarro walks right in
ピサロに勝利	Victory over Pizarro
止めを刺す前に	Before the killing blow,
本体のブレインだけで逃げてしまった	his brain alone got away
ネプラカスに叩き潰されるピサロ	Neplacus crushes Pizarro flat
キャンプを張って小休憩する	They pitch camp for a short rest
ダークランスが現れる	Dark Rance turns up
ダークランスに	He puts on a show for Dark Rance:
マリアとのセックスを見せつける	sex with Maria
さらに見せつけようとして	He tries to show off more
ダークランスにぶん殴られる	and Dark Rance decks him
※マリアの可能性	※A chance with Maria
はいここまでー	Right, that's enough
ダークランスは何処かへと走り去っていった	Dark Rance ran off somewhere
悪魔回廊の出口に到達	They reach the Corridor's exit
何かが気がかりな様子のフェリス	Something is on Feliss's mind
元気でいてくれるよね……	He'll be all right, won't he...
ネプラカス	Neplacus
アレとはもう絶対関わりたくない……	Never again, not with that thing...
大将軍は死んだ	The Great General is dead
反撃開始だ	The counterattack begins
パランチョ軍、妖怪軍	Parancho's army, the youkai army
チューリップ、カスタム四魔女……	Tulips, Custom's four witches...
自由都市連合軍の快進撃	The Alliance army sweeps forward
自由都市が平和になった	Peace returns to the Free Cities
五十六、政宗と会話	A talk with Isoroku and Masamune
事件が起きた	Something has happened
※要ランスの拠点 内容若干変化	※Needs a Rance base - slight changes
妖怪王黒部が復活	Youkai King Kurobe is back
妖怪の反乱が起きた	A youkai revolt breaks out
俺が黒部を倒して主となる	Beat Kurobe and be their master
死国への道中	On the road to Shikoku
五十六を抱く	Rance beds Isoroku
黒部の説明	An explanation of Kurobe
死国に入る	Into Shikoku
妖怪王黒部を発見	Youkai King Kurobe is found
引き分けに終わる	It ends in a draw
ランスの力を認めた黒部	Kurobe grants Rance's strength
再び眠りに付く	and goes back to sleep
妖怪の反乱は終わった	The youkai revolt is over
黒部を倒した	Kurobe is beaten
翌日、黒部が部下になる	Next day, Kurobe serves him
天満橋で魔軍と戦う五十六	Isoroku fights at Tenmabashi Bridge
妖怪軍団が助太刀に現れる	The youkai army comes to help
黒部達が駆けつけ勝利	Kurobe rushes in and they win
全ての地区が危機	Every region is in danger
兵士の士気を上げる為に全地区へ出撃	Out to every region to lift morale
リーザス地区の様子	How the Leazas region stands
リーザス地区	The Leazas region
ランスの活躍で志気が上がる	Rance's showing lifts morale
バレス、スーの会話	Barres and Sioux talk
自由都市地区の様子	How the Free Cities region stands
自由都市地区	The Free Cities region
強行軍が続き疲れが溜まり始める	Forced marches; the fatigue builds
ゼス地区の様子	How the Zeth region stands
ゼス地区	The Zeth region
アニスが邪魔する	Anise gets in the way
ヘルマン地区の様子	How the Helman region stands
ヘルマン地区	The Helman region
こんな疲れるのもう２度とやらん	Never again, that was exhausting
ランスと東芝王子	Rance and Prince Toshiba
ランス砦　司令部	Rance Fort, HQ
東芝王子に現状の戦況説明	The war is explained to Toshiba
ブレイブ号で地底から魔物界へ	The Brave digs to the demon world
ケイブリスを倒そう！	Let's bring Kayblis down!
作戦をすっぽかしたランス	Rance stood the plan up
ブレイブ号の改造に夢中	He is lost in refitting the Brave
人類軍は兵力不足で困っている	Humanity is short of troops
地底の亜人ポピンズを参戦させよう	Bring the underground Poppins in
クリーム、柚原が同行	Cream and Yuzuhara come along
ポンビスについての説明	About the Ponbis species
自律型の兵器を作る小人	Little folk who build automata
ポピンズには２つの国がある	The Poppins have two nations
今は、アレルギー超大国に向かっている	Now bound for the Allergy superpower
お祭りの最中だから	A festival is on
アレルギー超大国の門	The gate of the Allergy superpower
門番の器兵が襲ってきた	The gate automaton attacks
中からエロい声が聞こえる	Lewd noises come from inside
大乱交祭の最中らしい	The Great Orgy Festival is on
門を開けてランス達は中に入った	The gate opens and in they go
アレルギー超大国の街中	The streets of the Allergy nation
ポピンズ達の青姦乱交…	Poppins rutting in the open...
満鉄王からの同盟条件	King Mantetsu's terms for alliance
条件１．アニャガスとは嫌	Term 1: no dealing with Anyagas
条件２．娘の日立を探して出してくれ	Term 2: find his daughter Hitachi
砂漠案内人が日立だったと思い出す	The desert guide was Hitachi
日立姫と会う	They meet Princess Hitachi
国には戻らない	She will not go home
東芝王子と会いたいと言う	She wants to meet Prince Toshiba
東芝王子を助ける為に	To rescue Prince Toshiba,
アニャガス王国へ行く	off to the Kingdom of Anyagas
ウルザが同行する	Urza comes along
マルグリッド迷宮から	From the Marguerite Labyrinth,
アニャガス王国を目指す	they make for Anyagas
ポピンズの警備隊が居る	A Poppins guard patrol is there
警備隊には接触せず	They avoid the patrol
先を進む	On they go
柚原が指名手配されていた	Yuzuhara was a wanted woman
柚原とポピンズ	Yuzuhara and the Poppins
アニャガス王国に着く	They reach the Kingdom of Anyagas
ポピンズ達の様子	How the Poppins are getting on
三菱王からの同盟条件	King Mitsubishi's terms
条件．アレルギーとは嫌	Term: no dealing with Allergy
東芝王子は監禁中である	Prince Toshiba is locked up
※要シグマ　内容若干変化	※Needs Sigma - slight changes
東芝王子が監禁されている	Prince Toshiba's prison
迷宮に入る	They enter the labyrinth
東芝王子を助ける	Prince Toshiba is rescued
ブレイブ号に乗り込んだ	They board the Brave
地底探索へ出発	Off to explore underground
ブレイブ号で地底探検中	Exploring underground in the Brave
地底湖に到着	They reach an underground lake
ポピンズの環境耐性は高い	Poppins endure harsh places well
モンスターを避けながら出発	Off again, dodging monsters
ウルザを襲えないランス	Rance cannot lay a hand on Urza
ハニーの祭壇に入る	Into the Hanny altar
魔人ますぞえが現れる	Fiend Masuzoe appears
ますぞえは無視	Masuzoe is ignored
ますぞえと戦う	They fight Masuzoe
魔人ますぞえを倒した	Fiend Masuzoe is beaten
魔血魂を回収	The Magic Blood Soul is taken
ますぞえは倒せなかった	Masuzoe could not be beaten
何かが聞こえる	Something can be heard
地底の広間で休憩中	Resting in an underground hall
大怪獣に遭遇	They run into a great beast
